Track,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Likes,TikTok Views,Apple Music Playlist Count,AirPlay Spins,Shazam Counts,Explicit Track
Area Codes,Kaliii,3/17/2023,USAT22301942,1220,42.8,228240866,33819,27729274,68,71928705,887392,122679145,1249845764,37,90410,1338659,1
Medallo,Blessd,10/27/2021,COA6W2102282,1224,42.8,452087681,66494,24042564,65,509694751,2049523,59474554,754567803,53,31265,1414880,1
Riptide,Vance Joy,1/1/2013,AULI01385760,1223,42.8,2541833602,369150,165607442,80,533440453,4627060,383809767,3108986398,231,132498,16496792,0
Ch Y La Pizza,Fuerza Regida,12/1/2022,QZ9QQ2200104,1230,42.7,511421362,37923,17851037,75,265678775,844731,17455943,204148897,24,227,739587,1
In Ha Mood,Ice Spice,1/6/2023,USUG12300365,1234,42.7,190126590,39734,15519701,63,71742798,984809,175869184,1435693104,47,94993,1093911,1
All Mine,Brent Faiyaz,7/8/2022,QM24S2203185,1232,42.7,315014005,61987,22567278,71,77564375,661614,51356427,366123920,27,101865,1112722,1
Let Me Know I Wonder Why Freestyle,Juice WRLD,7/1/2019,USUG11903494,1231,42.7,503584339,126610,15066503,72,125086953,1299743,22035785,126546185,14,9,1953038,1
The Night We Met,Lord Huron,2/9/2015,US53Q1200103,1226,42.7,2097181065,286668,123211490,84,807672690,8866507,239330349,1722597041,78,11224,8832956,0
Playa Del Ingl,Quevedo,12/15/2022,ES5152201707,1227,42.7,347558532,68744,34228107,67,151166424,705558,14984269,323188246,18,18093,687719,0
Talk,Yeat,9/2/2022,USUM72216448,1229,42.7,242057987,77898,8717113,67,39581789,457747,13919189,109453452,10,127,999699,1
Kya Loge Tum,B Praak,5/15/2023,INUM72300286,1238,42.6,89701636,2561,1939449,57,375460772,3277504,649330,15339768,3,272,104287,0
Nonstop,Drake,6/29/2018,USCM51800191,1239,42.6,1118459427,175188,51548109,71,409939539,3134200,223929731,2167216619,147,242,4021390,1
Love Dive,IVE,4/5/2022,KRA382204375,1243,42.5,397988770,28165,11131897,69,583304882,4759365,219351151,1878718115,31,3065,468601,0
Go Stupid,Polo G,2/14/2020,USQX92000261,1241,42.5,416388749,112485,21170575,69,122253253,1631776,151447909,940333420,27,9098,1046790,1
Popstar,DJ Khaled,7/17/2020,USSM12004501,1247,42.4,712664065,165234,35485186,63,384597914,4775085,28205851,247613041,183,93,3773076,1
